ID,Title,Year,Budget,Gross Income
1063,The Full Monty,1997,3500000,257938649
1064,G.I. Jane,1997,50000000,48169156
1065,The Game,1997,50000000,109423648
1066,Gattaca,1997,36000000,12532777
1067,George of the Jungle,1997,55000000,174463257
1068,The Gingerbread Man,1998,25000000,1677131
1069,Switchback,1997,37000000,6492660
1070,Gone Fishin',1997,53000000,19745922
1071,Good Burger,1997,9000000,23712993
1072,Good Will Hunting,1997,10000000,225933435
1073,Goodbye America,1997,75000000,4635
1074,Goodbye Lover,1998,20000000,1940299
1075,Great Expectations,1998,25000000,55494066
1076,Grosse Pointe Blank,1997,15000000,28084357
1077,Gummo,1997,1300000,116799
1078,Sydney,1996,3000000,222559
1079,Hercules,1997,85000000,252712101
1080,Home Alone 3,1997,32000000,79082515
1081,Home Fries,1998,35000000,10493366
1082,Hoodlum,1997,30000000,23499102
1083,Hope Floats,1998,30000000,81471882
1084,The Horse Whisperer,1998,60000000,186883563
1085,The House of Yes,1997,1500000,626057
1086,Hurlyburly,1998,15000000,1808004
1087,Hurricane,1997,500000,375634
1088,I Know What You Did Last Summer,1997,17000000,125586134
1089,I Married a Strange Person!,1997,250000,206272
1090,The Ice Storm,1997,18000000,8038061
1091,In & Out,1997,35000000,63856929
1092,In the Company of Men,1997,25000,2804473
1093,The Jackal,1997,60000000,159330280
1094,Jackie Brown,1997,12000000,39673162
1095,Jungle 2 Jungle,1997,32000000,59927618
1096,Karakter,1997,4500000,623983
1097,Kicked in the Head,1997,4000000,21361
1098,"Kiss Me, Guido",1997,740000,1918497
1099,Kiss or Kill,1997,2000000,801728
1100,Kiss the Girls,1997,27000000,60527873
1101,Knockin' on Heaven's Door,1997,4300000,5710
1102,Kull the Conqueror,1997,20000000,6112613
1103,Kundun,1997,28000000,5684789
1104,L.A. Confidential,1997,35000000,126216940
1105,The Last Time I Committed Suicide,1997,4000000,46362
1106,Lawn Dogs,1997,8000000,106404
1107,Leave It to Beaver,1997,15000000,10925060
1108,Your Friends & Neighbors,1998,5000000,4714658
1109,Liar Liar,1997,45000000,302710615
1110,A Life Less Ordinary,1997,12000000,4366722
1111,Lolita,1997,62000000,1071255
1112,No Looking Back,1998,5000000,222099
1113,The Lost World: Jurassic Park,1997,73000000,618638999
1114,Love Jones,1997,10000000,12782749
1115,Mad City,1997,50000000,10541523
1116,Twilight,1998,37000000,15055091
1117,McHale's Navy,1997,31190000,4529843
1118,Meet Joe Black,1998,90000000,142940100
1119,Men in Black,1997,90000000,589390539
1120,Men with Guns,1997,2500000,910773
1121,Metro,1997,55000000,32000301
1122,Midnight in the Garden of Good and Evil,1997,35000000,25105255
1123,Mimic,1997,30000000,25480490
1124,Money Talks,1997,25000000,48407611
1125,Mortal Kombat: Annihilation,1997,30000000,51376861
1126,Most Wanted,1997,25000000,11838218
1127,Mousehunt,1997,38000000,122417389
1128,Mr. Magoo,1997,30000000,21437192
1129,Murder at 1600,1997,40000000,25804707
1130,My Best Friend's Wedding,1997,38000000,299288605
1131,The Myth of Fingerprints,1997,2000000,523025
1132,Next Stop Wonderland,1998,1000000,3395581
1133,The Night Flier,1997,1000000,125397
1134,Nil by Mouth,1997,9000000,266130
1135,Snitch,1998,11000000,333760
1136,Nothing to Lose,1997,25000000,44480039
1137,As Good as It Gets,1997,50000000,314178011
1138,One Night Stand,1997,24000000,2642983
1139,Oscar and Lucinda,1997,16000000,1897404
1140,Out to Sea,1997,33000000,30716901
1141,Paradise Road,1997,16000000,2007100
1142,The Peacemaker,1997,50000000,110463140
1143,The Pest,1997,17000000,3600616
1144,Picture Perfect,1997,10000000,44332015
1145,Pippi Longstocking,1997,80000000,505335
1146,The Players Club,1998,4500000,23261485
1147,Playing God,1997,12000000,4166918
1148,The Postman,1997,80000000,17626234
1149,Without Limits,1998,25000000,777423
1150,Prefontaine,1997,8000000,589304
1151,Primary Colors,1998,65000000,52090187
1152,Private Parts,1997,28000000,41230799
1153,The Rainmaker,1997,40000000,45916769
1154,Red Corner,1997,48000000,22459274
1155,The Relic,1997,40000000,33956608
1156,The Replacement Killers,1998,30000000,19204929
1157,Rien ne va plus,1997,60000000,250899
1158,Rosewood,1997,25000000,13130349
1159,The Saint,1997,68000000,118063304
1160,Savior,1998,10000000,14328
1161,Scream 2,1997,24000000,172363301
1162,Selena,1997,20000000,35281794
1163,Seven Years in Tibet,1997,70000000,131457682
1164,Shadow Conspiracy,1997,45000000,2312463
1165,She's So Lovely,1997,18000000,7281450
1166,Shooting Fish,1997,3000000,375261
1167,Sibirskiy tsiryulnik,1998,35000000,2634218
1168,A Simple Wish,1997,28000000,8345056
1169,The Sixth Man,1997,11000000,14772788
1170,Sliding Doors,1998,6000000,11841544
1171,A Smile Like Yours,1997,18000000,3330352
1172,Smilla's Sense of Snow,1997,35000000,2372903
1173,Soldier,1998,60000000,14594226
1174,Soul Food,1997,7500000,43700855
1175,The Spanish Prisoner,1997,10000000,9593903
1176,Spawn,1997,40000000,87840042
1177,Speed 2: Cruise Control,1997,160000000,164508066
1178,Sphere,1998,80000000,37020277
1179,Spice World,1997,25000000,29342592
1180,Three Kings,1999,75000000,107752036
1181,Starship Troopers,1997,105000000,121214377
1182,Steel,1997,16000000,1710972
1183,Suicide Kings,1997,5000000,1740156
1184,The Sweet Hereafter,1997,5000000,3263585
1185,Tango,1998,700000000,1897948
1186,Telling Lies in America,1997,4000000,318809
1187,That Old Feeling,1997,35000000,16574176
1188,Smoke Signals,1998,2000000,6745362
1189,A Thousand Acres,1997,28000000,7936780
1190,A Simple Plan,1998,30000000,16316273
1191,Titanic,1997,200000000,2187463944
1192,Tomorrow Never Dies,1997,110000000,333011068
1193,Toy Story 2,1999,90000000,508793269
1194,Trojan War,1997,15000000,309
1195,The Truman Show,1998,60000000,264118201
1196,Turbo: A Power Rangers Movie,1997,8000000,9615840
1197,Turbulence,1997,55000000,11538235
1198,Twin Town,1997,3300000,127923
1199,U Turn,1997,19000000,6682098
1200,Ulee's Gold,1997,2700000,9161691
1201,Vegas Vacation,1997,25000000,36400360
1202,Virus,1999,75000000,30657854
1203,Volcano,1997,90000000,122823468
1204,Star Kid,1997,12000000,7029025
1205,Warriors of Virtue,1997,35000000,6537036
1206,The Man Who Knew Too Little,1997,20000000,13717039
1207,The Waterboy,1998,23000000,185991646
1208,Welcome to Sarajevo,1997,9000000,334319
1209,Wide Awake,1998,6000000,282175
1210,Wilde,1997,10000000,2158775
1211,Wishmaster,1997,5000000,15738769
1212,Woo,1998,13000000,8165984
1213,Celebrity,1998,12000000,5078660
1214,54,1998,13000000,16757163
1215,All the Little Animals,1998,3500000,26558
1216,American History X,1998,20000000,23875127
1217,Antz,1998,105000000,171757863
1218,Armageddon,1998,140000000,553709788
1219,Babe: Pig in the City,1998,90000000,69131860
1220,The Bachelor,1999,51000000,36911617
1221,Barney's Great Adventure,1998,15000000,12218638
1222,Being John Malkovich,1999,13000000,23106667
1223,Beloved,1998,80000000,22852487
1224,Beowulf,1999,3500000,102744
1225,The Big Hit,1998,13000000,27007143
1226,Black Dog,1998,30000000,12951088
1227,Blade,1998,45000000,131183530
1228,A Walk on the Moon,1999,14000000,4750660
1229,The Mummy,1999,80000000,415933406
1230,Breakfast of Champions,1999,12000000,178278
1231,Brokedown Palace,1999,25000000,10115013
1232,A Bug's Life,1998,120000000,363258859
1233,EverAfter,1998,26000000,98005666
1234,City of Angels,1998,55000000,198685114
1235,A Civil Action,1998,75000000,56709981
1236,Meet the Deedles,1998,24000000,4356216
1237,The Deep End of the Ocean,1999,38000000,28121100
1238,Deep Impact,1998,75000000,349464664
1239,Dirty Work,1998,13000000,10023282
1240,Dogma,1999,10000000,31429330
1241,The 13th Warrior,1999,160000000,61698899
1242,Enemy of the State,1998,90000000,250849789
1243,Eye of the Beholder,1999,35000000,17589705
1244,Eyes Wide Shut,1999,65000000,162091208
1245,Fear and Loathing in Las Vegas,1998,18500000,10680275
1246,Firestorm,1998,19000000,8165212
1247,Gloria,1999,30000000,4197729
1248,Gods and Monsters,1998,10000000,6451628
1249,Godzilla,1998,130000000,379014294
1250,Stepmom,1998,50000000,159710793
1251,The Green Mile,1999,60000000,286801374
1252,Half Baked,1998,8000000,17460020
1253,Halloween H20: 20 Years Later,1998,17000000,55041738
1254,Hard Rain,1998,70000000,19870567
1255,Holy Man,1998,60000000,12069719
1256,How Stella Got Her Groove Back,1998,20000000,39278722
1257,In Dreams,1999,30000000,12017369
1258,Jakob the Liar,1999,45000000,4956401
1259,Living Out Loud,1998,20000000,15610299
1260,Knock Off,1998,35000000,10319915
1261,The Last Days of Disco,1998,8000000,3020601
1262,La leggenda del pianista sull'oceano,1998,9000000,167435
1263,"Lock, Stock and Two Smoking Barrels",1998,960000,3753929
1264,Lost in Space,1998,80000000,136159423
1265,Jane Austen's Mafia!,1998,10000000,19889299
1266,Major League: Back to the Minors,1998,18000000,3572443
1267,The Man in the Iron Mask,1998,35000000,182968902
1268,The Mask of Zorro,1998,95000000,250288523
1269,Mercury Rising,1998,60000000,93107289
1270,Mighty Joe Young,1998,90000000,50632037
1271,The Mod Squad,1999,50000000,13263993
1272,Mulan,1998,90000000,304320254
1273,My Favorite Martian,1999,65000000,36850101
1274,The Negotiator,1998,50000000,44547681
1275,The Newton Boys,1998,27000000,10452012
1276,A Night at the Roxbury,1998,17000000,30331165
1277,The Object of My Affection,1998,15000000,46905889
1278,One Man's Hero,1999,11350000,240067
1279,One True Thing,1998,30000000,26616840
1280,The Opposite of Sex,1997,5000000,5881367
1281,Out of Sight,1998,48000000,77745568
1282,Payback,1999,90000000,161626121
1283,A Perfect Murder,1998,60000000,128038368
1284,Pleasantville,1998,60000000,49805462
1285,Practical Magic,1998,75000000,46732881
1286,The Prince of Egypt,1998,70000000,218613188
1287,Pushing Tin,1999,33000000,8408835
1288,Quest for Camelot,1998,40000000,22510798
1289,Le violon rouge,1998,18000000,10019109
1290,Rush Hour,1998,33000000,244721064
1291,Safe Men,1998,1000000,45724
1292,Saving Private Ryan,1998,70000000,482349603
1293,Senseless,1998,15000000,12874899
1294,Six Days Seven Nights,1998,70000000,164839294
1295,Slums of Beverly Hills,1998,5000000,5502773
1296,Snake Eyes,1998,73000000,103891409
1297,Snow Falling on Cedars,1999,35000000,23049593
1298,Lost & Found,1999,30000000,6552255
1299,Star Trek: Insurrection,1998,58000000,112587658
1300,Tarzan,1999,130000000,448191819
1301,Tarzan and the Lost City,1998,20000000,2172941
1302,Un tÃ¨ con Mussolini,1999,12000000,14401563
1303,The Thin Red Line,1998,52000000,98126565
1304,U.S. Marshals,1998,60000000,102367405
1305,Vampires,1998,20000000,20308772
1306,The Velocity of Gary,1998,4000000,2143
1307,Les couloirs du temps: Les visiteurs II,1998,140000000,146072
1308,Wag the Dog,1997,15000000,64256513
1309,The Wedding Singer,1998,18000000,123306987
1310,What Dreams May Come,1998,85000000,55382927
1311,Wild Things,1998,20000000,30147739
1312,Wild Wild West,1999,170000000,222104681
1313,The X Files,1998,66000000,189176423
1314,Zero Effect,1998,5000000,2087471
1315,eXistenZ,1999,15000000,2856712
1316,Fantasia 2000,1999,80000000,90874570
1317,Star Wars: Episode I - The Phantom Menace,1999,115000000,1027082707
1318,Lethal Weapon 4,1998,140000000,285444603
1319,An Ideal Husband,1999,14000000,18542974
1320,Sista kontraktet,1998,24000000,3899
1321,Ronin,1998,55000000,41616262
1322,Small Soldiers,1998,40000000,54682547
1323,La gabbianella e il gatto,1998,6000000,82106
1324,Among Giants,1998,2500000,65748
1325,Analyze This,1999,80000000,176885658
1326,The Other Sister,1999,35000000,27807627
1327,Just the Ticket,1998,12000000,430404
1328,Cube,1997,365000,565727
1329,Life,1999,80000000,73475268
1330,Strangeland,1998,1100000,713239
1331,Two Girls and a Guy,1997,1000000,2057193
1332,Under the Skin,1997,1000000,140254
1333,Very Bad Things,1998,30000000,9898412
1334,Vor,1997,2000000,1126506
1335,Blast from the Past,1999,35000000,40263020
1336,The Cider House Rules,1999,24000000,88545092
1337,He Got Game,1998,25000000,21567853
1338,Orgazmo,1997,1000000,602302
1339,Simon Birch,1998,30000000,18253415
1340,The Hanging Garden,1997,1500000,24909
1341,Notting Hill,1999,42000000,363944522
1342,Paulie,1998,23000000,26875268
1343,Abre los ojos,1997,370000000,377967
1344,Man on the Moon,1999,82000000,47434430
1345,Outside Providence,1999,7000000,7302522
1346,Cookie's Fortune,1999,10000000,10920544
1347,Desert Blue,1998,2000000,100590
1348,Pecker,1998,6000000,2281761
1349,Bedrooms and Hallways,1998,3000000,136049
1350,The Loss of Sexual Innocence,1999,4000000,164022
1351,Election,1999,25000000,14902041
1352,For Love of the Game,1999,80000000,46112640
1353,Hav Plenty,1997,650000,2284034
1354,Six Ways to Sunday,1997,2500000,54751
1355,The Sticky Fingers of Time,1997,250000,1610
1356,Clubland,1999,1000000,18529
1357,Elizabeth,1998,30000000,82150642
1358,Another Day in Paradise,1998,4500000,1036818
1359,Can't Hardly Wait,1998,10000000,25605015
1360,Tale of the Mummy,1998,8000000,831785
1361,"First Love, Last Rites",1997,300000,42953
1362,Grey Owl,1999,30000000,632617
1363,Instinct,1999,80000000,34105207
1364,NÃ´,1998,1500000,4868
1365,Rounders,1998,12000000,22912409
1366,Rushmore,1998,9000000,17195500
1367,You've Got Mail,1998,65000000,250821495
1368,Hell's Kitchen,1998,6000000,11710
1369,The Iron Giant,1999,70000000,23179225
1370,The Out-of-Towners,1999,75000000,28544120
1371,Patch Adams,1998,90000000,202292902
1372,Ravenous,1999,12000000,2062405
1373,There's Something About Mary,1998,23000000,369884651
1374,I Still Know What You Did Last Summer,1998,65000000,40002112
1375,Mickey Blue Eyes,1999,75000000,54264342
1376,AimÃ©e & Jaguar,1999,15000000,927107
1377,Lola rennt,1998,3500000,7267585
1378,Bowfinger,1999,55000000,98625775
1379,Edtv,1999,80000000,35242897
1380,I Got the Hook Up,1998,3500000,10317779
1381,Wing Commander,1999,30000000,11578059
1382,BASEketball,1998,25000000,7027290
1383,Mystery Men,1999,68000000,33461011
1384,October Sky,1999,25000000,34698685
1385,At First Sight,1999,60000000,22365133
1386,Teaching Mrs. Tingle,1999,13000000,8951935
1387,The Matrix,1999,63000000,465343787
1388,AstÃ©rix & ObÃ©lix contre CÃ©sar,1999,274620000,1632567
1389,Best Laid Plans,1999,7000000,27816
1390,The Faculty,1998,15000000,40283321
1391,The Siege,1998,70000000,116672912
1392,The Rugrats Movie,1998,24000000,140894675
1393,The Talented Mr. Ripley,1999,40000000,128798265
1394,Ride with the Devil,1999,38000000,635096
1395,8MM,1999,40000000,96618699
1396,"Mystery, Alaska",1999,28000000,8891623
1397,Disturbing Behavior,1998,15000000,17514980
1398,Hideous Kinky,1998,12000000,1263279
1399,200 Cigarettes,1999,6000000,6852450
1400,Arlington Road,1999,31000000,41067311
1401,Les Boys II,1998,4700000,5974732
1402,Entrapment,1999,66000000,212404396
1403,Fight Club,1999,63000000,101187217
1404,Shakespeare in Love,1998,25000000,289317794
1405,The 24 Hour Woman,1999,2500000,109535
1406,The Astronaut's Wife,1999,75000000,19598588
1407,Edge of Seventeen,1998,700000,871759
1408,Idle Hands,1999,25000000,4152230
1409,Pi,1998,60000,3221152
1410,Taxman,1998,3500000,9871
1411,20 Dates,1998,60000,541636
1412,Cruel Intentions,1999,10500000,76347426
1413,Go,1999,20000000,28451622
1414,Lake Placid,1999,35000000,56870414
1415,Message in a Bottle,1999,80000000,118880016
1416,Slam,1998,1000000,1009819
1417,True Crime,1999,55000000,16649768
1418,Varsity Blues,1999,16000000,54294169
1419,The Thirteenth Floor,1999,16000000,18564088
1420,The Insider,1999,90000000,60289912
1421,A Midsummer Night's Dream,1999,11000000,16071990
1422,Mumford,1999,28000000,4555459
1423,Solo fÃ¼r Klarinette,1998,6800000,19278
1424,Whatever,1998,1000000,307037
1425,Central do Brasil,1998,2900000,5971073
1426,Forces of Nature,1999,75000000,93900680
1427,Jack Frost,1998,85000000,34562556
1428,Inspector Gadget,1999,90000000,134403112
1429,The Corruptor,1999,25000000,24493601
1430,Crazy in Alabama,1999,15000000,2005840
1431,Histoires d'hiver,1999,2300000,138411
1432,Big Daddy,1999,34200000,234801895
1433,The Ninth Gate,1999,38000000,58401898
1434,The World Is Not Enough,1999,135000000,361832400
1435,Molly,1999,21000000,17650
1436,Shattered Image,1998,7500000,106116
1437,The Boondock Saints,1999,6000000,30471
1438,Bride of Chucky,1998,25000000,50688658
1439,The Cherry Orchard,1999,5000000,135280
1440,Dick,1999,13000000,6262878
1441,Dreaming of Joseph Lees,1999,2000000,12044
1442,The General's Daughter,1999,95000000,149705852
1443,Tequila Body Shots,1999,1700000,9037
1444,Three to Tango,1999,20000000,10570375
1445,The Rage: Carrie 2,1999,21000000,17762705
1446,Stigmata,1999,29000000,89446268
1447,Angela's Ashes,1999,50000000,13042112
1448,Austin Powers: The Spy Who Shagged Me,1999,33000000,312016858
1449,The Bone Collector,1999,73000000,151493655
1450,Playing by Heart,1998,20000000,3970078
1451,Simply Irresistible,1999,6000000,4398989
1452,Urban Legend,1998,14000000,72527595
1453,End of Days,1999,100000000,211989043
1454,Any Given Sunday,1999,55000000,100230832
1455,Happiness,1998,2200000,2982011
1456,10 Things I Hate About You,1999,30000000,53478166
1457,Deep Blue Sea,1999,60000000,164648142
1458,Anywhere But Here,1999,23000000,23631929
1459,Cradle Will Rock,1999,36000000,2986932
1460,Double Jeopardy,1999,70000000,177841558
1461,Fucking ÃmÃ¥l,1998,9000000,219331
1462,Hilary and Jackie,1998,7000000,4912892
1463,Hum Dil De Chuke Sanam,1999,60000000,1007446
1464,Joan of Arc,1999,85000000,66976317
1465,Topsy-Turvy,1999,10000000,6208548
1466,Never Been Kissed,1999,25000000,84565230
1467,Office Space,1999,10000000,10827810
1468,Festen,1998,1300000,1656223
1469,Following,1998,6000,48482
1470,Speedway Junky,1999,1000000,17246
1471,The Thomas Crown Affair,1999,48000000,124305181
1472,Flawless,1999,15000000,4488529
1473,I'll Be Home for Christmas,1998,30000000,12214338
1474,Jawbreaker,1999,3500000,3117085
1475,Psycho,1998,60000000,37170655
1476,Spring Forward,1999,2000000,117471
1477,The Big Tease,1999,4000000,187152
1478,Last Night,1998,2000000,591165
1479,PÃ¢fekuto burÃ»,1997,3000000,563130
1480,Random Hearts,1999,64000000,74608570
1481,Drop Dead Gorgeous,1999,15000000,10571408
1482,La Cucaracha,1998,3000000,14692
1483,Sweet and Lowdown,1999,29750000,4525794
1484,Belly,1998,3000000,9639390
1485,Deterrence,1999,800000,145071
1486,Juha,1999,4773394,159298
1487,Muppets from Space,1999,24000000,22323612
1488,"South Park: Bigger, Longer & Uncut",1999,21000000,83137603
1489,The Virgin Suicides,1999,9000000,10409377
1490,Cotton Mary,1999,3500000,299432
1491,The Adventures of Elmo in Grouchland,1999,26000000,11683047
1492,A Dog of Flanders,1999,7000000,2165637
1493,Dudley Do-Right,1999,70000000,9974410
1494,Trippin',1999,3000000,9017070
1495,Guinevere,1999,2600000,635680
1496,In Too Deep,1999,7000000,14011454
1497,The King and I,1999,25000000,11993021
1498,Luminarias,1999,1000000,292309
1499,She's All That,1999,10000000,103166989
1500,The Story of Us,1999,50000000,58900031
1501,Tumbleweeds,1999,312000,1350248
1502,The Wood,1999,6000000,25059640
1503,Revelation,1999,1500000,206755
1504,Goat on Fire and Smiling Fish,1999,40000,278492
1505,"Happy, Texas",1999,2500000,1955933
1506,Sleepy Hollow,1999,100000000,206071502
1507,Summer of Sam,1999,22000000,19288130
1508,Trick,1999,450000,2087228
1509,Twin Falls Idaho,1999,500000,985341
1510,Jing Ke ci Qin Wang,1998,15000000,1267239
1511,Runaway Bride,1999,70000000,309460292
1512,Chill Factor,1999,70000000,11788676
1513,American Pie,1999,11000000,235483004
1514,"Blood, Guts, Bullets and Octane",1998,7300,15035
1515,Bringing Out the Dead,1999,55000000,16797191
1516,Limbo,1999,10000000,2160710
1517,The Muse,1999,15000000,11670561
1518,Drive Me Crazy,1999,8500000,22593409
1519,Stir of Echoes,1999,12000000,21142914
1520,Stuart Little,1999,133000000,300135367
1521,Molokai: The Story of Father Damien,1999,7436800,182695
1522,Ringmaster,1998,20000000,9257103
1523,Black and White,1999,12000000,5541431
1524,Detroit Rock City,1999,34000000,4217115
1525,Held Up,1999,8000000,4705631
1526,The Limey,1999,10000000,3325736
1527,East Is East,1999,1900000,4177818
1528,Foolish,1999,2000000,6033999
1529,The Love Letter,1999,20000000,8302478
1530,Waking Ned,1998,3000000,55257450
1531,Anna and the King,1999,92000000,113996937
1532,The Straight Story,1999,10000000,6416325
1533,Music of the Heart,1999,27000000,14936407
1534,The Book of Life,1998,350000,9740
1535,The Sixth Sense,1999,40000000,672806292
1536,Superstar,1999,34000000,30636478
1537,Simon Sez,1999,10000000,292152
1538,The Best Man,1999,9000000,34573780
1539,Theeviravaathi: The Terrorist,1998,1091250,159644
1540,American Beauty,1999,15000000,356296601
1541,The Haunting,1999,80000000,177311151
1542,Ratcatcher,1999,30000,217244
1543,Boys Don't Cry,1999,2000000,11540607
1544,The End of the Affair,1999,23000000,10827816
1545,"Girl, Interrupted",1999,40000000,48350205
1546,Komodo,1999,15000000,207496
1547,Light It Up,1999,13000000,5985690
1548,Sugar Town,1999,250000,178095
1549,Running Free,1999,25000000,117608
1550,Simpatico,1999,10000000,1281813
1551,The Hurricane,1999,50000000,73956241
1552,Magnolia,1999,37000000,48451803
1553,La otra conquista,1998,3500000,894410
1554,Universal Soldier: The Return,1999,45000000,10667893
1555,El abuelo,1998,400000000,54468
1556,Galaxy Quest,1999,45000000,90683916
1557,Ringu,1998,1200000,59001
1558,But I'm a Cheerleader,1999,1200000,2595216
1559,Storm Catcher,1999,2000000,11580
1560,Elvis Gratton II: Miracle Ã  Memphis,1999,3000000,3316272
1561,Blue Streak,1999,65000000,117758500
1562,Est - Ouest,1999,11500000,6031521
1563,Kirikou et la sorciÃ¨re,1998,3800000,281179
1564,Bicentennial Man,1999,100000000,87423861
1565,House on Haunted Hill,1999,37000000,42593455
1566,The Blair Witch Project,1999,60000,248639099
1567,Jesus' Son,1999,2500000,1302067
1568,Doug's 1st Movie,1999,5000000,19440089
1569,Gojira ni-sen mireniamu,1999,13000000,12924063
1570,Human Traffic,1999,2200000,104257
1571,Love Stinks,1999,4000000,2924635
1572,"Le temps retrouvÃ©, d'aprÃ¨s l'oeuvre de Marcel Proust",1999,65000000,248653
1573,The Big Kahuna,1999,7000000,3728888
1574,The Basket,1999,1300000,367098
1575,GekijÃ´-ban poketto monsutÃ¢ - MyÃ»tsÃ» no gyakushÃ»,1998,30000000,163644662
1576,Solas,1999,125000000,277596
1577,Le dernier souffle,1999,3800000,316043
1578,Swiri,1999,5000000,135892
1579,Play It to the Bone,1999,24000000,8678812
1580,Bats,1999,5250000,10155690
1581,The Underground Comedy Movie,1999,170000,856
1582,The Omega Code,1999,8000000,12614346
1583,Deuce Bigalow: Male Gigolo,1999,17000000,92938755
1584,GekijÃ´-ban poketto monsutÃ¢: Maboroshi no pokemon: Rugia bakutan,1999,30000000,133949270
1585,Ringu 2,1999,6000000,65586
1586,ABCD,1999,200000,83372
1587,Los sin nombre,1999,900000,3904286
