Title,Year, Budget , Revenue , Gross_Revenue ,Average_Vote
Toy Story,1995," 30,000,000 "," 373,554,033 "," 403,554,033 ",7.7
Jumanji,1995," 65,000,000 "," 262,797,249 "," 327,797,249 ",6.9
Waiting to Exhale,1995," 16,000,000 "," 81,452,156 "," 97,452,156 ",6.1
Heat,1995," 60,000,000 "," 187,436,818 "," 247,436,818 ",7.7
Sudden Death,1995," 35,000,000 "," 64,350,171 "," 99,350,171 ",5.5
GoldenEye,1995," 58,000,000 "," 352,194,034 "," 410,194,034 ",6.6
The American President,1995," 62,000,000 "," 107,879,496 "," 169,879,496 ",6.5
Nixon,1995," 44,000,000 "," 13,681,765 "," 57,681,765 ",7.1
Cutthroat Island,1995," 98,000,000 "," 10,017,322 "," 108,017,322 ",5.7
Casino,1995," 52,000,000 "," 116,112,375 "," 168,112,375 ",7.8
Sense and Sensibility,1995," 16,500,000 "," 135,000,000 "," 151,500,000 ",7.2
Four Rooms,1995," 4,000,000 "," 4,300,000 "," 8,300,000 ",6.5
Ace Ventura: When Nature Calls,1995," 30,000,000 "," 212,385,533 "," 242,385,533 ",6.1
Money Train,1995," 60,000,000 "," 35,431,113 "," 95,431,113 ",5.4
Get Shorty,1995," 30,250,000 "," 115,101,622 "," 145,351,622 ",6.4
Assassins,1995," 50,000,000 "," 30,303,072 "," 80,303,072 ",6
Leaving Las Vegas,1995," 3,600,000 "," 49,800,000 "," 53,400,000 ",7.1
Now and Then,1995," 12,000,000 "," 27,400,000 "," 39,400,000 ",6.6
The City of Lost Children,1995," 18,000,000 "," 1,738,611 "," 19,738,611 ",7.6
Twelve Monkeys,1995," 29,500,000 "," 168,840,000 "," 198,340,000 ",7.4
Babe,1995," 30,000,000 "," 254,134,910 "," 284,134,910 ",6
Dead Man Walking,1995," 11,000,000 "," 39,363,635 "," 50,363,635 ",7.3
Mortal Kombat,1995," 18,000,000 "," 122,195,920 "," 140,195,920 ",5.4
To Die For,1995," 20,000,000 "," 21,284,514 "," 41,284,514 ",6.7
How To Make An American Quilt,1995," 10,000,000 "," 23,574,130 "," 33,574,130 ",6.5
Se7en,1995," 33,000,000 "," 327,311,859 "," 360,311,859 ",8.1
Pocahontas,1995," 55,000,000 "," 346,079,773 "," 401,079,773 ",6.7
The Usual Suspects,1995," 6,000,000 "," 23,341,568 "," 29,341,568 ",8.1
Mighty Aphrodite,1995," 15,000,000 "," 6,700,000 "," 21,700,000 ",6.7
Friday,1995," 3,500,000 "," 28,215,918 "," 31,715,918 ",7
From Dusk Till Dawn,1996," 19,000,000 "," 25,836,616 "," 44,836,616 ",6.9
Fair Game,1995," 50,000,000 "," 11,534,477 "," 61,534,477 ",4.1
Big Bully,1996," 15,000,000 "," 2,042,530 "," 17,042,530 ",3.9
Screamers,1995," 20,000,000 "," 5,781,885 "," 25,781,885 ",6.1
Things to Do in Denver When You're Dead,1995," 8,000,000 "," 529,766 "," 8,529,766 ",6.7
White Squall,1996," 38,000,000 "," 10,300,000 "," 48,300,000 ",6.3
Nick of Time,1995," 8,169,363 "," 8,175,346 "," 16,344,709 ",6.1
Mary Reilly,1996," 47,000,000 "," 12,379,402 "," 59,379,402 ",5.7
Vampire in Brooklyn,1995," 14,000,000 "," 19,800,000 "," 33,800,000 ",4.5
Broken Arrow,1996," 50,000,000 "," 150,270,147 "," 200,270,147 ",5.7
Bottle Rocket,1996," 7,000,000 "," 560,069 "," 7,560,069 ",6.8
Happy Gilmore,1996," 12,000,000 "," 41,205,099 "," 53,205,099 ",6.5
The Bridges of Madison County,1995," 24,000,000 "," 182,016,617 "," 206,016,617 ",7.3
Braveheart,1995," 72,000,000 "," 210,000,000 "," 282,000,000 ",7.7
Rumble in the Bronx,1995," 7,500,000 "," 32,392,047 "," 39,892,047 ",6.5
Steal Big Steal Little,1995," 25,000,000 "," 6,278,139 "," 31,278,139 ",5.1
Boomerang,1992," 40,000,000 "," 70,100,000 "," 110,100,000 ",5.4
Flirting with Disaster,1996," 7,000,000 "," 14,702,438 "," 21,702,438 ",6.3
Jade,1995," 50,000,000 "," 9,851,610 "," 59,851,610 ",5.1
The Birdcage,1996," 31,000,000 "," 185,260,553 "," 216,260,553 ",6.7
Bad Boys,1995," 19,000,000 "," 141,407,024 "," 160,407,024 ",6.5
An Awfully Big Adventure,1995," 4,000,000 "," 851,545 "," 4,851,545 ",6
Apollo 13,1995," 52,000,000 "," 355,237,933 "," 407,237,933 ",7.3
Rob Roy,1995," 28,000,000 "," 31,596,911 "," 59,596,911 ",6.5
Batman Forever,1995," 100,000,000 "," 336,529,144 "," 436,529,144 ",5.2
Blue in the Face,1995," 2,000,000 "," 1,275,000 "," 3,275,000 ",6.8
Canadian Bacon,1995," 11,000,000 "," 178,104 "," 11,178,104 ",5.9
Casper,1995," 50,000,000 "," 287,928,194 "," 337,928,194 ",6
Clockers,1995," 25,000,000 "," 13,071,518 "," 38,071,518 ",6.8
Congo,1995," 50,000,000 "," 152,022,101 "," 202,022,101 ",5
Crimson Tide,1995," 53,000,000 "," 157,387,195 "," 210,387,195 ",7
Desperado,1995," 7,000,000 "," 25,405,445 "," 32,405,445 ",6.8
Devil in a Blue Dress,1995," 27,000,000 "," 16,140,822 "," 43,140,822 ",6.3
Die Hard: With a Vengeance,1995," 90,000,000 "," 366,101,666 "," 456,101,666 ",6.9
First Knight,1995," 55,000,000 "," 127,600,435 "," 182,600,435 ",5.9
Hackers,1995," 20,000,000 "," 7,563,728 "," 27,563,728 ",6.2
Johnny Mnemonic,1995," 25,000,000 "," 19,075,720 "," 44,075,720 ",5.5
Judge Dredd,1995," 90,000,000 "," 113,493,481 "," 203,493,481 ",5.4
Kids,1995," 1,500,000 "," 7,412,216 "," 8,912,216 ",6.8
Living in Oblivion,1995," 500,000 "," 1,148,752 "," 1,648,752 ",7.2
Mallrats,1995," 6,000,000 "," 2,122,561 "," 8,122,561 ",6.8
Mighty Morphin Power Rangers: The Movie,1995," 15,000,000 "," 66,000,000 "," 81,000,000 ",5.2
Mute Witness,1995, 2 , 1 , 3 ,6.4
The Net,1995," 22,000,000 "," 110,627,965 "," 132,627,965 ",5.6
Party Girl,1995," 150,000 "," 472,370 "," 622,370 ",5.8
The Prophecy,1995, 8 , 16 , 24 ,6.4
The Scarlet Letter,1995," 50,000,000 "," 10,382,407 "," 60,382,407 ",5.5
Showgirls,1995," 45,000,000 "," 20,350,754 "," 65,350,754 ",4.9
Smoke,1995," 7,000,000 "," 8,349,430 "," 15,349,430 ",7.2
Species,1995," 35,000,000 "," 113,374,103 "," 148,374,103 ",5.5
Strange Days,1995," 42,000,000 "," 7,959,291 "," 49,959,291 ",6.8
The Tie That Binds,1995," 14,000,000 "," 5,780,000 "," 19,780,000 ",4.6
Under Siege 2: Dark Territory,1995," 60,000,000 "," 104,324,083 "," 164,324,083 ",5.6
A Walk in the Clouds,1995," 20,000,000 "," 50,012,507 "," 70,012,507 ",6.5
Waterworld,1995," 175,000,000 "," 264,218,220 "," 439,218,220 ",5.9
Burnt by the Sun,1994," 2,800,000 "," 2,616,503 "," 5,416,503 ",6.7
Before Sunrise,1995," 2,500,000 "," 5,535,405 "," 8,035,405 ",7.7
Billy Madison,1995," 10,000,000 "," 26,488,734 "," 36,488,734 ",6.2
Boys on the Side,1995," 21,000,000 "," 23,450,000 "," 44,450,000 ",6.3
Clerks,1994," 27,000 "," 3,151,130 "," 3,178,130 ",7.4
Don Juan DeMarco,1994," 25,000,000 "," 22,200,000 "," 47,200,000 ",6.3
Disclosure,1994," 55,000,000 "," 214,015,089 "," 269,015,089 ",5.9
Dumb and Dumber,1994," 16,000,000 "," 247,275,374 "," 263,275,374 ",6.5
Ed Wood,1994," 18,000,000 "," 5,887,457 "," 23,887,457 ",7.3
Hideaway,1995," 15,000,000 "," 12,201,255 "," 27,201,255 ",5
Hoop Dreams,1994," 700,000 "," 7,830,611 "," 8,530,611 ",7.7
Heavenly Creatures,1994," 5,000,000 "," 3,049,135 "," 8,049,135 ",6.9
Houseguest,1995," 10,500,000 "," 26,325,256 "," 36,825,256 ",6
Interview with the Vampire,1994," 60,000,000 "," 223,664,608 "," 283,664,608 ",7.2
Jefferson in Paris,1995," 14,000,000 "," 2,474,000 "," 16,474,000 ",5.2
Junior,1994," 60,000,000 "," 37,000,000 "," 97,000,000 ",4.7
Like Water for Chocolate,1992," 2,000,000 "," 21,665,468 "," 23,665,468 ",6.6
Legends of the Fall,1994," 30,000,000 "," 160,638,883 "," 190,638,883 ",7.2
Losing Isaiah,1995," 17,000,000 "," 7,603,766 "," 24,603,766 ",6.4
Mary Shelley's Frankenstein,1994," 45,000,000 "," 112,006,296 "," 157,006,296 ",6.1
Miami Rhapsody,1995, 6 , 5 , 11 ,5.6
Nell,1994," 31,000,000 "," 106,683,817 "," 137,683,817 ",6.1
Natural Born Killers,1994," 34,000,000 "," 50,282,766 "," 84,282,766 ",6.9
Outbreak,1995," 50,000,000 "," 189,859,560 "," 239,859,560 ",6.4
Leon: The Professional,1994," 16,000,000 "," 45,284,974 "," 61,284,974 ",8.2
The Perez Family,1995," 11,000,000 "," 2,832,826 "," 13,832,826 ",6.6
Pulp Fiction,1994," 8,000,000 "," 213,928,762 "," 221,928,762 ",8.3
Pushing Hands,1992," 400,000 "," 152,322 "," 552,322 ",6.1
The Quick and the Dead,1995," 32,000,000 "," 18,552,460 "," 50,552,460 ",6.2
Roommates,1995," 22,000,000 "," 12,400,000 "," 34,400,000 ",6.4
Prêt-à-Porter,1994," 15,000,000 "," 11,300,653 "," 26,300,653 ",5.3
The Swan Princess,1994," 35,000,000 "," 9,771,658 "," 44,771,658 ",6.5
The Specialist,1994," 45,000,000 "," 170,362,582 "," 215,362,582 ",5.5
Stargate,1994," 55,000,000 "," 196,567,262 "," 251,567,262 ",6.8
The Santa Clause,1994," 22,000,000 "," 189,833,357 "," 211,833,357 ",6.3
The Shawshank Redemption,1994," 25,000,000 "," 28,341,469 "," 53,341,469 ",8.5
Tank Girl,1995," 25,000,000 "," 4,064,495 "," 29,064,495 ",5.5
Star Trek: Generations,1994," 38,000,000 "," 120,000,000 "," 158,000,000 ",6.4
Tales from the Hood,1995," 6,000,000 "," 12,000,000 "," 18,000,000 ",5.4
What's Eating Gilbert Grape,1993," 11,000,000 "," 10,032,765 "," 21,032,765 ",7.5
Virtuosity,1995," 30,000,000 "," 24,048,000 "," 54,048,000 ",5.4
While You Were Sleeping,1995," 17,000,000 "," 182,057,016 "," 199,057,016 ",6.5
Muriel's Wedding,1994," 3,000,000 "," 15,119,639 "," 18,119,639 ",6.9
Ace Ventura: Pet Detective,1994," 15,000,000 "," 107,217,396 "," 122,217,396 ",6.4
Bitter Moon,1992," 5,000,000 "," 1,862,805 "," 6,862,805 ",7
Clear and Present Danger,1994," 62,000,000 "," 215,887,717 "," 277,887,717 ",6.4
The Client,1994," 45,000,000 "," 117,615,211 "," 162,615,211 ",6.4
The Crow,1994," 15,000,000 "," 94,000,000 "," 109,000,000 ",7.3
The Flintstones,1994," 46,000,000 "," 341,631,208 "," 387,631,208 ",5
Forrest Gump,1994," 55,000,000 "," 677,945,399 "," 732,945,399 ",8.2
Four Weddings and a Funeral,1994," 6,000,000 "," 254,700,832 "," 260,700,832 ",6.6
I Love Trouble,1994," 45,000,000 "," 61,947,267 "," 106,947,267 ",5.3
The Lion King,1994," 45,000,000 "," 788,241,776 "," 833,241,776 ",8
Little Buddha,1993," 35,000,000 "," 4,858,139 "," 39,858,139 ",6
New Nightmare,1994," 14,000,000 "," 18,090,181 "," 32,090,181 ",6.4
The Mask,1994," 23,000,000 "," 351,583,407 "," 374,583,407 ",6.6
The Naked Gun 33⅓: The Final Insult,1994," 30,000,000 "," 51,132,598 "," 81,132,598 ",6.4
Reality Bites,1994," 11,500,000 "," 20,079,850 "," 31,579,850 ",6.5
Red Rock West,1993," 8,000,000 "," 2,000,000 "," 10,000,000 ",6.4
Speed,1994," 30,000,000 "," 350,448,145 "," 380,448,145 ",6.8
Timecop,1994," 27,000,000 "," 101,646,581 "," 128,646,581 ",5.5
True Lies,1994," 115,000,000 "," 378,882,411 "," 493,882,411 ",6.8
Wyatt Earp,1994," 63,000,000 "," 25,052,000 "," 88,052,000 ",6.5
A Low Down Dirty Shame,1994," 10,000,000 "," 29,392,418 "," 39,392,418 ",6
Jason's Lyric,1994," 7,000,000 "," 20,851,521 "," 27,851,521 ",5.9
Street Fighter,1994," 35,000,000 "," 99,423,521 "," 134,423,521 ",4.1
Highlander: The Final Dimension,1994," 26,000,000 "," 36,800,000 "," 62,800,000 ",4.5
In the Mouth of Madness,1994," 8,000,000 "," 8,946,600 "," 16,946,600 ",7.1
The Age of Innocence,1993," 34,000,000 "," 32,255,440 "," 66,255,440 ",7
The Air Up There,1994," 17,080,000 "," 21,011,500 "," 38,091,500 ",5.1
Beverly Hills Cop III,1994," 50,000,000 "," 119,208,989 "," 169,208,989 ",5.5
Body Snatchers,1993," 13,000,000 "," 428,868 "," 13,428,868 ",5.8
A Bronx Tale,1993," 22,000,000 "," 17,287,898 "," 39,287,898 ",7.4
Calendar Girl,1993," 13,000,000 "," 2,570,145 "," 15,570,145 ",3.7
Carlito's Way,1993," 30,000,000 "," 36,516,012 "," 66,516,012 ",7.7
Cliffhanger,1993," 70,000,000 "," 255,000,211 "," 325,000,211 ",6.1
Color of Night,1994," 40,000,000 "," 19,726,050 "," 59,726,050 ",5.4
Dazed and Confused,1993," 6,900,000 "," 7,993,039 "," 14,893,039 ",7.4
Demolition Man,1993," 57,000,000 "," 159,055,768 "," 216,055,768 ",6.4
For Love or Money,1993," 30,000,000 "," 11,146,270 "," 41,146,270 ",5.7
The Firm,1993," 42,000,000 "," 270,248,367 "," 312,248,367 ",6.6
Free Willy,1993," 20,000,000 "," 153,698,625 "," 173,698,625 ",6
The Fugitive,1993," 44,000,000 "," 368,875,760 "," 412,875,760 ",7.2
Geronimo: An American Legend,1993," 35,000,000 "," 18,635,620 "," 53,635,620 ",5.9
Hard Target,1993," 18,000,000 "," 74,189,677 "," 92,189,677 ",6.1
Hot Shots! Part Deux,1993," 25,000,000 "," 133,752,825 "," 158,752,825 ",6.2
In the Line of Fire,1993," 40,000,000 "," 176,997,168 "," 216,997,168 ",6.8
In the Name of the Father,1993," 13,000,000 "," 65,796,862 "," 78,796,862 ",7.6
Jurassic Park,1993," 63,000,000 "," 920,100,000 "," 983,100,000 ",7.6
Kalifornia,1993," 9,000,000 "," 2,395,231 "," 11,395,231 ",6.5
Killing Zoe,1993," 1,500,000 "," 418,961 "," 1,918,961 ",6.1
Last Action Hero,1993," 85,000,000 "," 137,298,489 "," 222,298,489 ",6.1
Manhattan Murder Mystery,1993," 13,500,000 "," 11,285,588 "," 24,785,588 ",7.1
Menace II Society,1993," 3,500,000 "," 27,900,000 "," 31,400,000 ",7.2
Executive Decision,1996," 55,000,000 "," 121,969,216 "," 176,969,216 ",5.8
Mrs. Doubtfire,1993," 25,000,000 "," 441,286,195 "," 466,286,195 ",7
The Next Karate Kid,1994," 12,000,000 "," 15,826,984 "," 27,826,984 ",4.8
No Escape,1994," 20,000,000 "," 15,340,000 "," 35,340,000 ",6.1
A Perfect World,1993," 30,000,000 "," 135,130,999 "," 165,130,999 ",7.2
Philadelphia,1993," 26,000,000 "," 206,678,440 "," 232,678,440 ",7.6
The Piano,1993," 7,000,000 "," 116,700,000 "," 123,700,000 ",7.1
Poetic Justice,1993," 14,000,000 "," 27,515,786 "," 41,515,786 ",6.9
The Ref,1994," 11,000,000 "," 11,439,193 "," 22,439,193 ",6.7
The Remains of the Day,1993," 11,500,000 "," 23,237,911 "," 34,737,911 ",7.5
Renaissance Man,1994," 40,000,000 "," 24,332,324 "," 64,332,324 ",5.9
RoboCop 3,1993," 22,000,000 "," 10,696,210 "," 32,696,210 ",4.2
Robin Hood: Men in Tights,1993," 20,000,000 "," 35,739,755 "," 55,739,755 ",6.4
Romeo Is Bleeding,1993," 11,500,000 "," 3,275,585 "," 14,775,585 ",5.7
Ruby in Paradise,1993," 800,000 "," 1,001,437 "," 1,801,437 ",5.6
Rudy,1993," 12,000,000 "," 22,750,363 "," 34,750,363 ",7.2
Schindler's List,1993," 22,000,000 "," 321,365,567 "," 343,365,567 ",8.3
Serial Mom,1994," 13,000,000 "," 7,820,688 "," 20,820,688 ",6.4
The Shadow,1994," 25,000,000 "," 48,063,435 "," 73,063,435 ",5.4
Sleepless in Seattle,1993," 21,000,000 "," 227,799,884 "," 248,799,884 ",6.5
Sliver,1993," 40,000,000 "," 116,300,000 "," 156,300,000 ",4.9
So I Married an Axe Murderer,1993," 20,000,000 "," 11,585,483 "," 31,585,483 ",6.1
Super Mario Bros.,1993," 48,000,000 "," 20,915,465 "," 68,915,465 ",4
Surviving the Game,1994," 7,400,000 "," 7,690,013 "," 15,090,013 ",6.1
Terminal Velocity,1994," 50,000,000 "," 16,478,900 "," 66,478,900 ",5
The Nightmare Before Christmas,1993," 18,000,000 "," 75,634,409 "," 93,634,409 ",7.6
The Three Musketeers,1993," 30,000,000 "," 53,898,845 "," 83,898,845 ",6.2
Tombstone,1993," 25,000,000 "," 56,505,065 "," 81,505,065 ",7.4
True Romance,1993," 12,500,000 "," 12,281,551 "," 24,781,551 ",7.5
The Pagemaster,1994," 27,000,000 "," 13,670,688 "," 40,670,688 ",6.2
Home Alone,1990," 18,000,000 "," 476,684,675 "," 494,684,675 ",7.1
Ghost,1990," 22,000,000 "," 505,000,000 "," 527,000,000 ",6.9
Aladdin,1992," 28,000,000 "," 504,050,219 "," 532,050,219 ",7.4
Terminator 2: Judgment Day,1991," 100,000,000 "," 520,000,000 "," 620,000,000 ",7.7
Dances with Wolves,1990," 22,000,000 "," 424,208,848 "," 446,208,848 ",7.6
The Silence of the Lambs,1991," 19,000,000 "," 272,742,922 "," 291,742,922 ",8.1
Beauty and the Beast,1991," 25,000,000 "," 377,350,553 "," 402,350,553 ",7.5
Pretty Woman,1990," 14,000,000 "," 463,000,000 "," 477,000,000 ",7
Fargo,1996," 7,000,000 "," 60,611,975 "," 67,611,975 ",7.7
Hellraiser: Bloodline,1996," 4,000,000 "," 16,675,000 "," 20,675,000 ",4.9
Primal Fear,1996," 30,000,000 "," 102,616,183 "," 132,616,183 ",7.4
Girl 6,1996," 12,000,000 "," 4,939,939 "," 16,939,939 ",5.7
Courage Under Fire,1996," 46,000,000 "," 100,860,818 "," 146,860,818 ",6.2
Mission: Impossible,1996," 80,000,000 "," 457,696,359 "," 537,696,359 ",6.7
DragonHeart,1996," 57,000,000 "," 115,267,375 "," 172,267,375 ",6.4
James and the Giant Peach,1996," 38,000,000 "," 28,921,264 "," 66,921,264 ",6.2
Faithful,1996," 13,000,000 "," 9,789,900 "," 22,789,900 ",4.8
Space Jam,1996," 80,000,000 "," 250,200,000 "," 330,200,000 ",6.5
Mrs. Winterbourne,1996," 25,000,000 "," 10,070,000 "," 35,070,000 ",5.5
The Quest,1996," 30,000,000 "," 57,400,547 "," 87,400,547 ",5.3
Flipper,1996," 25,530,000 "," 20,080,020 "," 45,610,020 ",5.3
The Horseman on the Roof,1995," 35,000,000 "," 15,000,000 "," 50,000,000 ",6.7
The Craft,1996," 15,000,000 "," 24,769,466 "," 39,769,466 ",6.3
Original Gangstas,1996," 4,800,000 "," 3,014,000 "," 7,814,000 ",5.5
The Rock,1996," 75,000,000 "," 335,062,621 "," 410,062,621 ",6.9
Twister,1996," 92,000,000 "," 494,471,524 "," 586,471,524 ",6.1
The Arrival,1996," 25,000,000 "," 14,048,372 "," 39,048,372 ",6.1
The Phantom,1996," 45,000,000 "," 17,300,889 "," 62,300,889 ",4.7
Striptease,1996," 50,000,000 "," 113,309,743 "," 163,309,743 ",4.4
Jack,1996," 45,000,000 "," 58,620,973 "," 103,620,973 ",5.9
Trainspotting,1996," 4,000,000 "," 16,491,080 "," 20,491,080 ",7.8
Independence Day,1996," 75,000,000 "," 816,969,268 "," 891,969,268 ",6.7
The Fan,1996," 55,000,000 "," 18,626,419 "," 73,626,419 ",5.7
The Hunchback of Notre Dame,1996," 100,000,000 "," 100,138,851 "," 200,138,851 ",6.8
The Cable Guy,1996," 47,000,000 "," 102,825,796 "," 149,825,796 ",5.7
Kingpin,1996," 27,000,000 "," 25,023,434 "," 52,023,434 ",6.7
Eraser,1996," 100,000,000 "," 242,295,562 "," 342,295,562 ",5.6
The Nutty Professor,1996," 54,000,000 "," 128,769,345 "," 182,769,345 ",5.4
Daylight,1996," 80,000,000 "," 159,212,469 "," 239,212,469 ",5.8
The Frighteners,1996," 30,000,000 "," 29,359,216 "," 59,359,216 ",6.7
Lone Star,1996," 5,000,000 "," 13,269,963 "," 18,269,963 ",6.9
Phenomenon,1996," 32,000,000 "," 152,036,382 "," 184,036,382 ",6.2
She's the One,1996," 3,500,000 "," 9,482,579 "," 12,982,579 ",5.7
A Time to Kill,1996," 40,000,000 "," 152,266,007 "," 192,266,007 ",7
Fled,1996," 25,000,000 "," 17,193,231 "," 42,193,231 ",5.2
Joe's Apartment,1996," 13,000,000 "," 4,619,014 "," 17,619,014 ",5
The First Wives Club,1996," 26,000,000 "," 116,400,000 "," 142,400,000 ",6.5
Ransom,1996," 80,000,000 "," 309,492,681 "," 389,492,681 ",6.4
Chain Reaction,1996," 50,000,000 "," 60,209,334 "," 110,209,334 ",5.3
Matilda,1996," 36,000,000 "," 33,459,416 "," 69,459,416 ",6.9
Emma,1996," 6,000,000 "," 22,231,658 "," 28,231,658 ",6.7
The Crow: City of Angels,1996," 13,000,000 "," 17,917,287 "," 30,917,287 ",5.2
Bordello of Blood,1996," 15,000,000 "," 5,600,000 "," 20,600,000 ",5
The Spitfire Grill,1996," 6,000,000 "," 12,643,776 "," 18,643,776 ",6.8
Escape from L.A.,1996," 50,000,000 "," 42,277,365 "," 92,277,365 ",5.6
Basquiat,1996," 2,962,051 "," 3,011,195 "," 5,973,246 ",6.6
Tin Cup,1996," 45,000,000 "," 53,854,588 "," 98,854,588 ",5.9
Dingo,1991," 200,000 "," 300,000 "," 500,000 ",6
Police Story 3: Supercop,1992," 900,000 "," 20,483,423 "," 21,383,423 ",6.7
Manny & Lo,1996," 500,000 "," 431,326 "," 931,326 ",6.3
Bound,1996," 4,500,000 "," 7,011,317 "," 11,511,317 ",6.9
The Relic,1997," 60,000,000 "," 33,956,608 "," 93,956,608 ",5.8
The Island of Dr. Moreau,1996," 40,000,000 "," 49,627,779 "," 89,627,779 ",4.6
Bulletproof,1996," 25,000,000 "," 22,611,954 "," 47,611,954 ",5.4
Halloween: The Curse of Michael Myers,1995," 5,000,000 "," 15,116,634 "," 20,116,634 ",5
Maximum Risk,1996," 25,000,000 "," 51,702,483 "," 76,702,483 ",5.3
Michael Collins,1996," 28,000,000 "," 16,900,000 "," 44,900,000 ",6.8
Last Man Standing,1996," 67,000,000 "," 47,267,001 "," 114,267,001 ",6.2
Set It Off,1996," 9,000,000 "," 41,590,886 "," 50,590,886 ",6.9
Curdled,1996," 2,300,000 "," 49,620 "," 2,349,620 ",6.2
Extreme Measures,1996," 38,000,000 "," 17,380,126 "," 55,380,126 ",5.7
The Chamber,1996," 50,000,000 "," 22,540,359 "," 72,540,359 ",5.9
Cool Runnings,1993," 14,000,000 "," 154,864,401 "," 168,864,401 ",6.8
Robin Hood: Prince of Thieves,1991," 48,000,000 "," 390,493,908 "," 438,493,908 ",6.6
The Lawnmower Man,1992," 10,000,000 "," 32,101,000 "," 42,101,000 ",5.4
Secrets & Lies,1996," 4,500,000 "," 13,417,292 "," 17,917,292 ",7.1
Surviving Picasso,1996," 16,000,000 "," 1,985,001 "," 17,985,001 ",5.3
The Long Kiss Goodnight,1996," 65,000,000 "," 89,456,761 "," 154,456,761 ",6.4
The Ghost and the Darkness,1996," 50,000,000 "," 75,000,000 "," 125,000,000 ",6.4
Get on the Bus,1996," 2,400,000 "," 5,731,103 "," 8,131,103 ",7
Shadow Conspiracy,1997," 45,000,000 "," 2,154,540 "," 47,154,540 ",4
Jude,1996," 7,000,000 "," 405,000 "," 7,405,000 ",6.6
Romeo + Juliet,1996," 14,500,000 "," 147,298,761 "," 161,798,761 ",6.7
Swingers,1996," 200,000 "," 4,505,922 "," 4,705,922 ",6.8
Sleepers,1996," 44,000,000 "," 165,615,285 "," 209,615,285 ",7.3
Reservoir Dogs,1992," 1,200,000 "," 14,661,007 "," 15,861,007 ",8.1
Basic Instinct,1992," 49,000,000 "," 352,927,224 "," 401,927,224 ",6.5
The Doors,1991," 38,000,000 "," 34,416,893 "," 72,416,893 ",6.7
The Crying Game,1992," 3,705,538 "," 62,548,947 "," 66,254,485 ",6.9
Glengarry Glen Ross,1992," 12,500,000 "," 10,725,228 "," 23,225,228 ",7.5
Days of Thunder,1990," 60,000,000 "," 157,920,733 "," 217,920,733 ",5.9
The Funeral,1996," 12,500,000 "," 1,227,324 "," 13,727,324 ",7.3
The People vs. Larry Flynt,1996," 36,000,000 "," 20,300,385 "," 56,300,385 ",6.8
Drop Dead Fred,1991," 6,788,000 "," 13,878,334 "," 20,666,334 ",5.9
Bad Moon,1996," 7,000,000 "," 1,100,000 "," 8,100,000 ",5.7
Delicatessen,1991," 4,000,000 "," 1,794,187 "," 5,794,187 ",7.4
The English Patient,1996," 27,000,000 "," 231,976,425 "," 258,976,425 ",7
Strictly Ballroom,1992," 3,000,000 "," 33,946,224 "," 36,946,224 ",6.2
Madonna: Truth or Dare,1991, 4 , 29 , 33 ,6.3
Paris is Burning,1990," 500,000 "," 3,779,620 "," 4,279,620 ",8.2
GoodFellas,1990," 25,000,000 "," 46,836,394 "," 71,836,394 ",8.2
Braindead,1992," 3,000,000 "," 242,623 "," 3,242,623 ",7.4
Miller's Crossing,1990," 14,000,000 "," 5,080,409 "," 19,080,409 ",7.5
Groundhog Day,1993," 14,600,000 "," 70,906,973 "," 85,506,973 ",7.4
