Title,Year, Budget , Revenue , Gross_Revenue ,Average_Vote
Arachnophobia,1990," 31,000,000 "," 53,208,180 "," 84,208,180 ",6.2
Wild Wild West,1999," 170,000,000 "," 222,104,681 "," 392,104,681 ",5.1
American Pie,1999," 11,000,000 "," 235,483,004 "," 246,483,004 ",6.4
Muppets from Space,1999," 24,000,000 "," 16,290,976 "," 40,290,976 ",5.8
The Blair Witch Project,1999," 60,000 "," 248,000,000 "," 248,060,000 ",6.3
Eyes Wide Shut,1999," 65,000,000 "," 162,091,208 "," 227,091,208 ",7.1
Lake Placid,1999," 27,000,000 "," 56,870,414 "," 83,870,414 ",5.5
The Wood,1999," 6,000,000 "," 25,059,640 "," 31,059,640 ",7.1
Drop Dead Gorgeous,1999," 10,000,000 "," 10,571,408 "," 20,571,408 ",6.5
The Haunting,1999," 80,000,000 "," 91,188,905 "," 171,188,905 ",5.2
Trick,1999," 450,000 "," 2,049,595 "," 2,499,595 ",6.7
Deep Blue Sea,1999," 60,000,000 "," 73,648,228 "," 133,648,228 ",5.6
Mystery Men,1999," 68,000,000 "," 29,762,011 "," 97,762,011 ",5.7
Runaway Bride,1999," 70,000,000 "," 309,457,509 "," 379,457,509 ",5.8
Dick,1999," 13,000,000 "," 27,500,000 "," 40,500,000 ",5.7
The Iron Giant,1999," 70,000,000 "," 23,159,305 "," 93,159,305 ",7.6
The Sixth Sense,1999," 40,000,000 "," 672,806,292 "," 712,806,292 ",7.7
The Thomas Crown Affair,1999," 48,000,000 "," 124,305,181 "," 172,305,181 ",6.7
Brokedown Palace,1999," 25,000,000 "," 13,000,000 "," 38,000,000 ",6.2
Detroit Rock City,1999," 6,500,000 "," 4,217,115 "," 10,717,115 ",6.7
Never Talk to Strangers,1995," 6,400,000 ", 6 ," 6,400,006 ",4.7
An American Werewolf in Paris,1997," 22,000,000 "," 26,570,463 "," 48,570,463 ",5.3
The Pelican Brief,1993," 45,000,000 "," 195,268,056 "," 240,268,056 ",6.3
Teaching Mrs. Tingle,1999," 13,000,000 "," 8,946,237 "," 21,946,237 ",5.3
Universal Soldier: The Return,1999," 45,000,000 "," 10,667,893 "," 55,667,893 ",4.2
In Too Deep,1999," 7,000,000 "," 14,011,454 "," 21,011,454 ",6.3
The 13th Warrior,1999," 160,000,000 "," 61,698,899 "," 221,698,899 ",6.4
The Astronaut's Wife,1999," 75,000,000 "," 19,598,588 "," 94,598,588 ",5.5
Chill Factor,1999," 70,000,000 "," 11,263,966 "," 81,263,966 ",5.3
Outside Providence,1999," 7,000,000 "," 7,292,175 "," 14,292,175 ",5.6
Stigmata,1999," 29,000,000 "," 50,041,732 "," 79,041,732 ",6
Stir of Echoes,1999," 12,000,000 "," 21,133,087 "," 33,133,087 ",6.5
American Beauty,1999," 15,000,000 "," 356,296,601 "," 371,296,601 ",7.9
Blue Streak,1999," 65,000,000 "," 117,758,500 "," 182,758,500 ",6.1
Thumbelina,1994," 28,000,000 "," 11,373,501 "," 39,373,501 ",6.1
Double Jeopardy,1999," 70,000,000 "," 177,841,558 "," 247,841,558 ",6.2
Guinevere,1999," 2,600,000 "," 614,202 "," 3,214,202 ",5.9
Drive Me Crazy,1999," 8,000,000 "," 22,593,409 "," 30,593,409 ",5.8
"Mystery, Alaska",1999," 28,000,000 "," 8,888,143 "," 36,888,143 ",6
Three Kings,1999," 75,000,000 "," 108,000,000 "," 183,000,000 ",6.6
"Happy, Texas",1999," 1,700,000 "," 1,943,649 "," 3,643,649 ",5.5
The Dark Half,1993," 15,000,000 "," 10,611,160 "," 25,611,160 ",5.4
Random Hearts,1999," 64,000,000 "," 74,608,570 "," 138,608,570 ",5.3
Boys Don't Cry,1999," 2,000,000 "," 11,540,607 "," 13,540,607 ",7.2
The Limey,1999," 10,000,000 "," 3,193,102 "," 13,193,102 ",6.6
Total Recall,1990," 65,000,000 "," 261,317,921 "," 326,317,921 ",7.1
Hard Eight,1996," 3,000,000 "," 222,559 "," 3,222,559 ",6.8
Home Alone 2: Lost in New York,1992," 18,000,000 "," 358,991,681 "," 376,991,681 ",6.3
Naturally Native,1999," 700,000 "," 10,508 "," 710,508 ",0
Fight Club,1999," 63,000,000 "," 100,853,753 "," 163,853,753 ",8.3
The Story of Us,1999," 50,000,000 "," 58,900,031 "," 108,900,031 ",5.9
The Best Man,1999," 9,000,000 "," 34,573,780 "," 43,573,780 ",6.8
RoboCop 2,1990," 35,000,000 "," 45,681,173 "," 80,681,173 ",5.6
House on Haunted Hill,1999," 19,000,000 "," 40,846,082 "," 59,846,082 ",5.5
Music of the Heart,1999," 27,000,000 "," 14,859,394 "," 41,859,394 ",6.3
Being John Malkovich,1999," 13,000,000 "," 22,863,596 "," 35,863,596 ",7.3
Dreaming of Joseph Lees,1999," 2,000,000 ", 7 ," 2,000,007 ",6
Princess Mononoke,1997," 26,500,000 "," 159,375,308 "," 185,875,308 ",8.2
The Bachelor,1999," 51,000,000 "," 36,911,617 "," 87,911,617 ",4.5
The Bone Collector,1999," 73,000,000 "," 151,493,655 "," 224,493,655 ",6.5
The Insider,1999," 90,000,000 "," 60,289,912 "," 150,289,912 ",7.3
Falling Down,1993," 25,000,000 "," 40,903,593 "," 65,903,593 ",7.2
Anywhere But Here,1999," 23,000,000 "," 18,653,615 "," 41,653,615 ",5.9
Dogma,1999," 10,000,000 "," 30,652,890 "," 40,652,890 ",6.8
The Messenger: The Story of Joan of Arc,1999," 60,000,000 "," 66,976,317 "," 126,976,317 ",6.2
Pokémon: The First Movie: Mewtwo Strikes Back,1998," 30,000,000 "," 163,644,662 "," 193,644,662 ",6.7
Sleepy Hollow,1999," 100,000,000 "," 206,071,502 "," 306,071,502 ",6.9
The World Is Not Enough,1999," 135,000,000 "," 361,832,400 "," 496,832,400 ",6
All About My Mother,1999," 8,272,296 "," 67,872,296 "," 76,144,592 ",7.4
Stanley & Iris,1990," 23,000,000 "," 5,820,015 "," 28,820,015 ",5.7
Backdraft,1991," 75,000,000 "," 152,368,585 "," 227,368,585 ",6.4
The Fisher King,1991," 24,000,000 "," 41,895,491 "," 65,895,491 ",7.2
End of Days,1999," 100,000,000 "," 211,989,043 "," 311,989,043 ",5.5
Toy Story 2,1999," 90,000,000 "," 497,366,869 "," 587,366,869 ",7.3
Ride with the Devil,1999," 38,000,000 "," 635,096 "," 38,635,096 ",6.6
Tumbleweeds,1999," 312,000 "," 1,281,176 "," 1,593,176 ",6.2
The End of the Affair,1999," 23,000,000 "," 10,827,816 "," 33,827,816 ",6.6
The Bonfire of the Vanities,1990," 47,000,000 "," 15,691,192 "," 62,691,192 ",5.3
The Two Jakes,1990," 19,000,000 "," 10,000,000 "," 29,000,000 ",6.2
Deuce Bigalow: Male Gigolo,1999," 17,000,000 "," 65,535,067 "," 82,535,067 ",5.4
The Green Mile,1999," 60,000,000 "," 284,600,000 "," 344,600,000 ",8.2
The Cider House Rules,1999," 24,000,000 "," 88,545,092 "," 112,545,092 ",6.9
Bicentennial Man,1999," 100,000,000 "," 93,700,000 "," 193,700,000 ",6.9
Stuart Little,1999," 133,000,000 "," 300,135,367 "," 433,135,367 ",5.8
Fantasia 2000,1999," 80,000,000 "," 90,874,570 "," 170,874,570 ",7
Magnolia,1999," 37,000,000 "," 48,451,803 "," 85,451,803 ",7.5
Onegin,1999," 14,000,000 "," 206,128 "," 14,206,128 ",5.8
Simpatico,1999," 10,000,000 "," 929,606 "," 10,929,606 ",5.3
Any Given Sunday,1999," 55,000,000 "," 100,230,832 "," 155,230,832 ",6.8
Man on the Moon,1999," 82,000,000 "," 47,434,430 "," 129,434,430 ",6.9
Galaxy Quest,1999," 45,000,000 "," 90,683,916 "," 135,683,916 ",6.9
The Talented Mr. Ripley,1999," 40,000,000 "," 128,798,265 "," 168,798,265 ",7.1
The Hurricane,1999," 50,000,000 "," 73,956,241 "," 123,956,241 ",7.2
Angela's Ashes,1999, 25 , 13 , 38 ,7
Play It to the Bone,1999," 24,000,000 "," 8,434,146 "," 32,434,146 ",5.7
The Terrorist,1998," 24,554 "," 140,021 "," 164,575 ",8.1
Batman: Mask of the Phantasm,1993," 6,000,000 "," 5,617,391 "," 11,617,391 ",7.4
Poison,1991," 250,000 "," 609,524 "," 859,524 ",6.4
Malcolm X,1992," 34,000,000 "," 48,169,908 "," 82,169,908 ",7.3
Sister Act,1992," 31,000,000 "," 231,605,150 "," 262,605,150 ",6.5
Sister Act 2: Back in the Habit,1993," 38,000,000 "," 57,319,029 "," 95,319,029 ",5.9
The Hand that Rocks the Cradle,1992," 11,700,000 "," 88,036,683 "," 99,736,683 ",6.5
Alive,1993," 32,000,000 "," 36,733,909 "," 68,733,909 ",6.7
Scent of a Woman,1992," 31,000,000 "," 134,095,253 "," 165,095,253 ",7.3
Wayne's World,1992," 20,000,000 "," 121,697,323 "," 141,697,323 ",6.5
A League of Their Own,1992," 40,000,000 "," 107,458,785 "," 147,458,785 ",6.8
Patriot Games,1992," 45,000,000 "," 178,051,587 "," 223,051,587 ",6.4
The Bodyguard,1992," 25,000,000 "," 411,006,740 "," 436,006,740 ",6.2
Death Becomes Her,1992," 55,000,000 "," 149,022,650 "," 204,022,650 ",6.3
Far and Away,1992," 60,000,000 "," 137,783,840 "," 197,783,840 ",6.3
Twin Peaks: Fire Walk with Me,1992," 10,000,000 "," 4,160,851 "," 14,160,851 ",7.3
Buffy the Vampire Slayer,1992," 7,000,000 "," 16,624,456 "," 23,624,456 ",5.3
El Mariachi,1992," 220,000 "," 2,040,920 "," 2,260,920 ",6.6
Bad Lieutenant,1992," 1,000,000 "," 2,019,469 "," 3,019,469 ",6.9
Single White Female,1992," 16,000,000 "," 48,017,402 "," 64,017,402 ",6
The Boondock Saints,1999," 6,000,000 "," 30,471 "," 6,030,471 ",7.2
Beyond the Mat,1999," 2,053,648 "," 500,000 "," 2,553,648 ",7.8
The Ninth Gate,1999," 38,000,000 "," 58,401,898 "," 96,401,898 ",6.3
JFK,1991," 40,000,000 "," 205,405,498 "," 245,405,498 ",7.5
Thelma & Louise,1991," 16,000,000 "," 45,361,000 "," 61,361,000 ",7.2
Mo' Better Blues,1990," 10,000,000 "," 16,153,593 "," 26,153,593 ",6.3
Jungle Fever,1991," 14,000,000 "," 32,482,682 "," 46,482,682 ",6
Death Wish 5: The Face of Death,1994," 5,000,000 "," 1,702,394 "," 6,702,394 ",5
Cool as Ice,1991," 6,000,000 "," 1,193,062 "," 7,193,062 ",4.7
Teenage Mutant Ninja Turtles,1990," 13,500,000 "," 202,000,000 "," 215,500,000 ",6.5
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991," 25,000,000 "," 78,000,000 "," 103,000,000 ",5.8
Teenage Mutant Ninja Turtles III,1993," 21,000,000 "," 42,000,000 "," 63,000,000 ",5.1
Jacob's Ladder,1990," 25,000,000 "," 25,965,144 "," 50,965,144 ",7.3
Hook,1991," 70,000,000 "," 300,854,823 "," 370,854,823 ",6.7
Misery,1990," 20,000,000 "," 61,276,872 "," 81,276,872 ",7.6
Mr. Saturday Night,1992," 43,000,000 "," 13,300,000 "," 56,300,000 ",5.2
Black and White,1999," 10,000,000 "," 5,241,315 "," 15,241,315 ",4.6
The Prince of Tides,1991," 30,000,000 "," 74,787,599 "," 104,787,599 ",5.9
East Is East,1999," 3,800,000 "," 28,200,000 "," 32,000,000 ",6.5
The Virgin Suicides,1999," 6,000,000 "," 10,409,377 "," 16,409,377 ",7.1
Jennifer Eight,1992," 20,000,000 "," 11,390,479 "," 31,390,479 ",5.8
The Idiots,1998," 2,500,000 "," 7,235 "," 2,507,235 ",6.7
Carnosaur,1993," 1,000,000 "," 1,753,979 "," 2,753,979 ",3.9
Human Traffic,1999," 600,000 "," 4,000,000 "," 4,600,000 ",6.8
The Myth Of Fingerprints,1997," 2,000,000 "," 458,815 "," 2,458,815 ",3.4
Stay Tuned,1992," 25,000,000 "," 10,736,401 "," 35,736,401 ",6
Flatliners,1990," 26,000,000 "," 61,489,265 "," 87,489,265 ",6.3
Predator 2,1990," 35,000,000 "," 57,120,318 "," 92,120,318 ",6
Butterfly,1999," 3,000,000 "," 6,000,000 "," 9,000,000 ",7.2
House Party,1990," 2,500,000 "," 26,386,000 "," 28,886,000 ",6.1
But I'm a Cheerleader,1999," 1,200,000 "," 2,600,000 "," 3,800,000 ",6.5
Pokémon: The Movie 2000,1999," 30,000,000 "," 133,949,270 "," 163,949,270 ",6.4
What About Bob?,1991," 35,000,000 "," 63,710,000 "," 98,710,000 ",6.7
The Crush,1993," 6,000,000 "," 13,609,396 "," 19,609,396 ",5.5
Silent Fall,1994," 30,000,000 "," 3,180,674 "," 33,180,674 ",5.2
Godzilla 2000,1999," 1,000,000 "," 10,037,390 "," 11,037,390 ",5.9
The Naked Gun 2½: The Smell of Fear,1991," 23,000,000 "," 86,930,411 "," 109,930,411 ",6.6
Hellraiser III: Hell on Earth,1992," 5,000,000 "," 12,534,961 "," 17,534,961 ",5.3
Don't Tell Mom the Babysitter's Dead,1991," 10,000,000 "," 25,196,249 "," 35,196,249 ",5.8
Death Warrant,1990," 4,000,000 "," 16,853,487 "," 20,853,487 ",5.4
Double Impact,1991," 15,000,000 "," 30,102,717 "," 45,102,717 ",5.3
Harley Davidson and the Marlboro Man,1991," 23,000,000 "," 7,434,726 "," 30,434,726 ",6.1
Mermaids,1990," 31,000,000 "," 35,419,397 "," 66,419,397 ",6.5
A Home of Our Own,1993," 12,000,000 "," 1,703,282 "," 13,703,282 ",7
For the Boys,1991," 40,000,000 "," 23,202,444 "," 63,202,444 ",6.5
Postcards from the Edge,1990," 22,000,000 "," 39,071,603 "," 61,071,603 ",6.3
City Slickers,1991," 27,000,000 "," 179,033,791 "," 206,033,791 ",6.2
Point Break,1991," 24,000,000 "," 83,531,958 "," 107,531,958 ",6.9
Unlawful Entry,1992," 23,000,000 "," 57,138,719 "," 80,138,719 ",5.8
Shadows and Fog,1991," 14,000,000 "," 2,735,731 "," 16,735,731 ",7
Cure,1997," 20,000 "," 99,000 "," 119,000 ",7.4
Silent Trigger,1996," 15,000,000 "," 76,382 "," 15,076,382 ",5
Another 48 Hrs.,1990," 38,000,000 "," 153,518,974 "," 191,518,974 ",5.8
Dragon: The Bruce Lee Story,1993," 14,000,000 "," 63,513,743 "," 77,513,743 ",6.8
Baby's Day Out,1994," 50,000,000 "," 16,671,505 "," 66,671,505 ",5.8
The Good Son,1993," 17,000,000 "," 44,456,478 "," 61,456,478 ",6.2
Intersection,1994," 45,000,000 "," 21,355,893 "," 66,355,893 ",5.1
A Troll in Central Park,1994," 23,000,000 "," 71,368 "," 23,071,368 ",4.4
Split Second,1992, 7 , 5 , 12 ,5.8
Delirious,1991," 18,000,000 "," 5,546,827 "," 23,546,827 ",5.5
Rambling Rose,1991," 7,500,000 "," 6,266,621 "," 13,766,621 ",6.4
White Fang,1991," 14,000,000 "," 34,793,160 "," 48,793,160 ",6.5
Rapid Fire,1992," 10,000,000 "," 14,356,479 "," 24,356,479 ",6.2
Hot Shots!,1991," 26,000,000 "," 181,096,164 "," 207,096,164 ",6.4
Camilla,1994," 8,500,000 "," 250,993 "," 8,750,993 ",4.9
Captain Ron,1992," 24,000,000 "," 22,518,097 "," 46,518,097 ",5.6
Spaced Invaders,1990," 3,000,000 "," 15,369,573 "," 18,369,573 ",4.8
Claire of the Moon,1992," 130,000 "," 799,674 "," 929,674 ",5.2
Jason Goes to Hell: The Final Friday,1993," 3,000,000 "," 15,938,065 "," 18,938,065 ",4.2
Return to the Blue Lagoon,1991," 11,000,000 "," 2,807,854 "," 13,807,854 ",5.2
Body of Evidence,1993," 30,000,000 "," 13,273,595 "," 43,273,595 ",4.5
Running Time,1997," 130,000 "," 1,596 "," 131,596 ",6.2
Dennis the Menace,1993," 35,000,000 "," 117,270,765 "," 152,270,765 ",5.5
Ringu,1998," 1,200,000 "," 8,690,429 "," 9,890,429 ",6.9
Ringu 2,1999," 6,000,000 "," 18,686,644 "," 24,686,644 ",5.4
Wind,1992," 29,000,000 "," 5,519,569 "," 34,519,569 ",6.1
The Marrying Man,1991," 26,000,000 "," 12,454,768 "," 38,454,768 ",5
Scenes from a Mall,1991," 3,000,000 "," 9,563,393 "," 12,563,393 ",4.8
Oscar,1991," 35,000,000 "," 23,562,716 "," 58,562,716 ",6.2
Barton Fink,1991," 9,000,000 "," 6,153,939 "," 15,153,939 ",7.4
Shattered,1991," 22,000,000 "," 11,511,031 "," 33,511,031 ",6.1
"Bodies, Rest & Motion",1993," 2,500,000 "," 764,083 "," 3,264,083 ",4.3
Loose Cannons,1990," 1,500,000 "," 5,585,154 "," 7,085,154 ",4.9
Man's Best Friend,1993," 6,000,000 "," 12,974,636 "," 18,974,636 ",5.5
Showdown in Little Tokyo,1991," 8,000,000 "," 2,275,557 "," 10,275,557 ",5.7
Tremors,1990," 11,000,000 "," 48,572,000 "," 59,572,000 ",6.6
Memoirs of an Invisible Man,1992," 40,000,000 "," 14,358,033 "," 54,358,033 ",5.7
Beethoven's 2nd,1993," 15,000,000 "," 118,243,066 "," 133,243,066 ",5
Boyz n the Hood,1991," 6,500,000 "," 57,504,069 "," 64,004,069 ",7.4
Bugsy,1991," 30,000,000 "," 49,114,016 "," 79,114,016 ",6
Consenting Adults,1992," 18,000,000 "," 21,591,728 "," 39,591,728 ",5.6
Sleeping with the Enemy,1991," 19,000,000 "," 174,999,005 "," 193,999,005 ",6.1
PCU,1994," 9,000,000 "," 4,350,774 "," 13,350,774 ",6
The Rookie,1990," 10,000,000 "," 21,633,874 "," 31,633,874 ",5.6
A Rage in Harlem,1991," 8,000,000 "," 10,400,000 "," 18,400,000 ",5.8
The Gun in Betty Lou's Handbag,1992," 13,000,000 "," 3,721,911 "," 16,721,911 ",4.1
Article 99,1992," 18,000,000 "," 6,375,979 "," 24,375,979 ",5.5
There Goes My Baby,1994," 10,500,000 "," 123,509 "," 10,623,509 ",8.5
Mobsters,1991," 23,000,000 "," 20,246,790 "," 43,246,790 ",5.7
Darkman,1990," 16,000,000 "," 48,878,502 "," 64,878,502 ",6.2
New Jack City,1991," 8,500,000 "," 47,624,253 "," 56,124,253 ",6.3
Highlander II: The Quickening,1991," 30,000,000 "," 15,556,340 "," 45,556,340 ",4.5
Hudson Hawk,1991," 65,000,000 "," 17,218,080 "," 82,218,080 ",5.4
Kindergarten Cop,1990," 15,000,000 "," 201,957,688 "," 216,957,688 ",5.8
The Last Boy Scout,1991," 29,000,000 "," 59,509,925 "," 88,509,925 ",6.5
Mr. Destiny,1990," 20,000,000 "," 15,379,253 "," 35,379,253 ",6.1
Passenger 57,1992," 15,000,000 "," 44,065,653 "," 59,065,653 ",5.6
Presumed Innocent,1990," 22,000,000 "," 221,303,188 "," 243,303,188 ",6.6
Pure Luck,1991," 17,010,000 "," 24,941,969 "," 41,951,969 ",5.5
The Wedding Banquet,1993," 1,000,000 "," 6,933,459 "," 7,933,459 ",6.8
Radio Flyer,1992," 35,000,000 "," 4,651,977 "," 39,651,977 ",6.6
Wild at Heart,1990," 9,500,000 "," 14,560,247 "," 24,060,247 ",7
Leprechaun,1993," 900,000 "," 8,556,940 "," 9,456,940 ",5.1
Run,1991," 16,000,000 "," 4,409,328 "," 20,409,328 ",5.5
"Car 54, Where Are You?",1994," 10,700,000 "," 1,238,080 "," 11,938,080 ",3
Only the Strong,1993," 6,000,000 "," 3,283,371 "," 9,283,371 ",6.8
The Adventures of Ford Fairlane,1990," 49,000,000 "," 20,423,389 "," 69,423,389 ",6.2
Cool World,1992," 30,000,000 "," 14,110,589 "," 44,110,589 ",4.9
Money for Nothing,1993," 11,000,000 "," 1,044,824 "," 12,044,824 ",5.1
Clifford,1994," 19,000,000 "," 7,411,659 "," 26,411,659 ",5.3
The Wind in the Willows,1996, 12 , 1 , 13 ,4.9
Raising Cain,1992," 12,000,000 "," 37,170,057 "," 49,170,057 ",5.9
Noises Off...,1992," 12,000,000 "," 2,280,148 "," 14,280,148 ",7
On Deadly Ground,1994," 50,000,000 "," 49,000,000 "," 99,000,000 ",4.6
Forever Fever,1998," 1,070,000 "," 570,000 "," 1,640,000 ",5.1
The Indian Runner,1991," 7,000,000 "," 191,125 "," 7,191,125 ",6.2
Nightbreed,1990," 11,000,000 "," 8,862,354 "," 19,862,354 ",6.4
Space Truckers,1996," 25,000,000 "," 1,614,266 "," 26,614,266 ",5.6
Paradise,1991," 34,000,000 "," 18,634,643 "," 52,634,643 ",5.6
At Play in the Fields of the Lord,1991," 36,000,000 "," 1,345,903 "," 37,345,903 ",5.8
Night of the Living Dead,1990," 4,200,000 "," 5,835,247 "," 10,035,247 ",6.7
City of Joy,1992," 27,000,000 "," 14,683,921 "," 41,683,921 ",6.3
The Doctor,1991," 12,000,000 "," 38,120,905 "," 50,120,905 ",6.6
Meet the Applegates,1991," 5,000,000 "," 485,772 "," 5,485,772 ",5
Rapa Nui,1994," 20,000,000 "," 305,070 "," 20,305,070 ",6.2
Juice,1992," 5,000,000 "," 20,146,880 "," 25,146,880 ",7
Search and Destroy,1995," 4,000,000 "," 389,503 "," 4,389,503 ",6.1
The Super,1991," 22,000,000 "," 11,000,863 "," 33,000,863 ",5.5
1492: Conquest of Paradise,1992," 47,000,000 "," 7,191,399 "," 54,191,399 ",6.1
Fire in the Sky,1993," 19,885,552 "," 19,724,334 "," 39,609,886 ",6.5
Cry-Baby,1990," 11,000,000 "," 8,266,343 "," 19,266,343 ",6.4
Frankenhooker,1990," 2,500,000 "," 205,068 "," 2,705,068 ",5.7
Hard to Kill,1990," 10,000,000 "," 47,410,000 "," 57,410,000 ",5.6
Havana,1990," 40,000,000 "," 9,243,140 "," 49,243,140 ",5.5
Lionheart,1990," 6,000,000 "," 24,078,196 "," 30,078,196 ",5.9
Closet Land,1991," 4,000,000 "," 259,012 "," 4,259,012 ",6.6
Dutch,1991," 17,000,000 "," 4,603,929 "," 21,603,929 ",6.4
Mannequin Two: On the Move,1991," 13,000,000 "," 3,752,426 "," 16,752,426 ",4.6
Out for Justice,1991," 14,000,000 "," 39,673,161 "," 53,673,161 ",5.9
Diggstown,1992," 17,000,000 "," 4,836,637 "," 21,836,637 ",6.5
Fortress,1992," 8,000,000 "," 6,739,141 "," 14,739,141 ",5.7
Josh and S.A.M.,1993," 18,000,000 "," 1,528,163 "," 19,528,163 ",5
Philadelphia Experiment II,1993," 5,000,000 "," 2,970 "," 5,002,970 ",5
Beowulf,1999," 20,000,000 "," 1,531,251 "," 21,531,251 ",4.4
A Place Called Chiapas,1998," 891,000 "," 229,000 "," 1,120,000 ",6.9
Dil Se..,1998," 5,200,000 "," 13,000,000 "," 18,200,000 ",6.7
Kuch Kuch Hota Hai,1998," 1,530,000 "," 15,306,000 "," 16,836,000 ",7.5
Man Trouble,1992, 30 , 4 , 34 ,4.7
Beastmaster 2: Through the Portal of Time,1991," 6,000,000 "," 869,325 "," 6,869,325 ",4.6
The Chase,1994," 26,000,000 "," 8,009,329 "," 34,009,329 ",5.6
Double Dragon,1994," 3,500,000 "," 2,341,309 "," 5,841,309 ",3.9
Bopha!,1993," 12,000,000 "," 212,483 "," 12,212,483 ",0
Once Upon a Forest,1993," 13,000,000 "," 6,582,052 "," 19,582,052 ",6.2
Airborne,1993," 2,600,000 "," 2,850,263 "," 5,450,263 ",6.1
Most Wanted,1997," 25,000,000 "," 11,838,218 "," 36,838,218 ",5.8
Hardware,1990," 1,500,000 "," 5,728,953 "," 7,228,953 ",5.6
Dilwale Dulhania Le Jayenge,1995," 13,200,000 "," 100,000,000 "," 113,200,000 ",9.1
Leprechaun 2,1994," 2,000,000 "," 2,260,622 "," 4,260,622 ",4.8
Son of the Pink Panther,1993," 25,000,000 "," 2,438,031 "," 27,438,031 ",3.8
Swoon,1992," 250,000 "," 340,147 "," 590,147 ",5.9
Dark Angel,1990," 7,000,000 "," 9,229,401 "," 16,229,401 ",5.5
Return of the Living Dead 3,1993," 2,000,000 "," 54,207 "," 2,054,207 ",5.9
Doctor Who,1996," 5,000,000 "," 42,000,000 "," 47,000,000 ",6
Rock-A-Doodle,1991," 18,000,000 "," 11,657,385 "," 29,657,385 ",5.3
Christopher Columbus: The Discovery,1992," 40,000,000 "," 8,251,071 "," 48,251,071 ",4.3
Top Dog,1995," 6,000,000 "," 5,093,707 "," 11,093,707 ",4.3
The Pebble and the Penguin,1995," 28,000,000 "," 3,983,912 "," 31,983,912 ",5.2
Sunday,1997, 450 , 288 , 738 ,6.3
The Wounds,1998," 10,000 "," 150,000 "," 160,000 ",7.2
The Nutcracker,1993," 19,000,000 "," 2,119,994 "," 21,119,994 ",5.6
Deadfall,1993," 10,000,000 ", 18 ," 10,000,018 ",3.1
Love's Deadly Triangle: The Texas Cadet Murder,1997," 14,000,000 "," 161,001,698 "," 175,001,698 ",5
Class of 1999,1990," 5,200,000 "," 2,459,895 "," 7,659,895 ",6.3
The Immortals,1995, 50 , 83 , 133 ,7.8
Out on a Limb,1992," 11,000,000 "," 1,659,542 "," 12,659,542 ",6.1
The First Power,1990," 10,000,000 "," 22,424,195 "," 32,424,195 ",4.7
Highway to Hell,1991," 9,000,000 "," 26,055 "," 9,026,055 ",6.1
Sankofa,1993," 1,000,000 "," 2,691,899 "," 3,691,899 ",6.9
La vérité si je mens !,1997," 4,000,000 "," 29,456,000 "," 33,456,000 ",6.3
"Ryaba, My Chicken",1994," 2,700,000 "," 4,635,143 "," 7,335,143 ",4.3
Falling From Grace,1992, 3 , 232 , 235 ,5.3
Rangeela,1995," 2,800,000 "," 14,000,000 "," 16,800,000 ",7.1
Godfather,1991," 18,000 "," 700,000 "," 718,000 ",6.9
Dil To Pagal Hai,1997," 1,300,000 "," 11,000,000 "," 12,300,000 ",6.6
The Last Breath,1999," 3,800,000 "," 559,298 "," 4,359,298 ",4
The Perfect Weapon,1991," 10,000,000 "," 14,061,361 "," 24,061,361 ",6
Vaali,1999," 500,000 "," 500,000 "," 1,000,000 ",6
Amarkalam,1999," 500,000 "," 500,000 "," 1,000,000 ",6.6
Aasai,1995," 500,000 "," 500,000 "," 1,000,000 ",6
Kadhal Kottai,1996," 500,000 "," 500,000 "," 1,000,000 ",7
Paws,1997," 137,731 "," 1,778,391 "," 1,916,122 ",3.9
The Cherry Orchard,1999, 5 , 135 , 140 ,0
Mudhalvan,1999," 7,400,000 "," 22,000,000 "," 29,400,000 ",6.3
